股票代码,股票简称,最新价,最新涨跌幅,个股热度[20240606],个股热度排名[20240606],market_code,code
002467.SZ,二六三,3.29,-4.082,30593.0,1478,33,002467
002735.SZ,王子新材,10.60,-3.549,30570.0,1479,33,002735
603823.SH,百合花,10.10,-3.534,30563.5,1480,17,603823
603931.SH,格林达,21.88,0.000,30541.0,1481,17,603931
603178.SH,圣龙股份,22.56,-5.011,30540.0,1482,17,603178
002162.SZ,悦心健康,2.83,-4.392,30539.0,1483,33,002162
002015.SZ,协鑫能科,8.71,-3.330,30522.5,1484,33,002015
300717.SZ,华信新材,15.10,4.571,30514.0,1485,33,300717
300189.SZ,神农科技,1.80,-8.629,30503.5,1486,33,300189
688047.SH,龙芯中科,96.69,-1.848,30497.5,1487,17,688047
300200.SZ,高盟新材,7.32,-3.684,30489.5,1488,33,300200
000963.SZ,华东医药,31.94,-0.838,30488.5,1489,33,000963
601231.SH,环旭电子,15.18,0.998,30480.0,1490,17,601231
000810.SZ,创维数字,9.07,-2.891,30479.5,1491,33,000810
300675.SZ,建科院,11.58,-3.258,30475.0,1492,33,300675
000715.SZ,中兴商业,4.92,-5.019,30468.5,1493,33,000715
300288.SZ,朗玛信息,10.36,-6.583,30467.0,1494,33,300288
603729.SH,龙韵股份,12.95,-7.632,30431.5,1495,17,603729
001289.SZ,龙源电力,18.34,-0.596,30398.0,1496,33,001289
600811.SH,东方集团,1.33,-6.993,30374.0,1497,17,600811
002036.SZ,联创电子,6.67,-3.752,30348.5,1498,33,002036
002212.SZ,天融信,4.98,-5.503,30328.0,1499,33,002212
301202.SZ,朗威股份,28.30,-2.414,30321.5,1500,33,301202
300088.SZ,长信科技,4.60,-2.128,30274.5,1501,33,300088
002104.SZ,恒宝股份,5.16,-4.621,30237.5,1503,33,002104
301258.SZ,富士莱,26.16,-5.730,30237.5,1502,33,301258
300243.SZ,瑞丰高材,9.70,-3.000,30201.0,1504,33,300243
002103.SZ,广博股份,4.91,-5.395,30197.5,1505,33,002103
002123.SZ,梦网科技,7.05,-7.963,30121.0,1506,33,002123
603021.SH,山东华鹏,2.54,-9.929,30089.5,1507,17,603021
300748.SZ,金力永磁,13.74,-2.276,30089.0,1508,33,300748
002945.SZ,华林证券,10.42,-3.070,30081.5,1509,33,002945
000524.SZ,岭南控股,8.25,-3.283,30073.5,1510,33,000524
603977.SH,国泰集团,10.29,-4.101,30052.0,1511,17,603977
301076.SZ,新瀚新材,18.72,-5.598,30044.0,1512,33,301076
000995.SZ,皇台酒业,8.27,-8.921,30037.0,1513,33,000995
